**Data Systems Plan for the Department of Citywide Administrative Services (DCAS)**

As an operations expert, I have meticulously analyzed the provided charter to identify the critical tabular datasets required for the Department of Citywide Administrative Services (DCAS) to fulfill its legal obligations and effectively manage its diverse operations. The datasets are structured by workflow and department, ensuring accuracy, security, and utility for management decision-making and oversight.

---

**Tabular Datasets**

1.  **Employee Records (Citywide)**
        *   "No later than September 30, 2023, and by each September 30 thereafter, the head of each city agency shall publish and submit to the mayor, the speaker of the council, the department of citywide administrative services, and the equal employment practices commission a report that contains the following information: (1) Number of new full-time and part-time employees retained by such agency; (2) Number of employees promoted at such agency, their level of promotion, old and new titles, and their change in pay; (3) Number of employees terminated by such agency and their pay at the time of termination; (4) Number of employees that left such agency and the pay received by such employees; and (5) Aggregated data showing the frequency of full-time, part-time, and seasonal employees retained by such agency, EEO-4 job group, pay band, race, ethnicity, gender, and any factors that affect the pay of such employees." (Section 815.l)
    *   **Why:** Necessary to categorize and report on personnel data by agency and manage inter-agency functions.
    *   **One row represents:** A single city agency.
    *   **Covers:** All city agencies.
    *   **Columns:** Agency ID, Agency Name, Agency Head Employee ID (1), Agency Head Name, Department ID (if applicable), Contact Information, Personnel Management Plan Approval Date, Personnel Management Plan Status, Affirmative Employment Plan Approval Date, Affirmative Employment Plan Status.

3.  **Civil Service Positions and Classifications**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To make studies in regard to the grading and classifying of positions in the civil service, establish criteria and guidelines for allocating positions to an existing class of positions, and grade and establish classes of positions" (Section 814.a.2)
        *   "The commission, on its own initiative, or upon request of the mayor, council, or commissioner, shall have the power and duty to conduct reviews, studies, or analyses of the administration of personnel in the city, including the classification of titles by the commissioner." (Section 813.e)
        *   "To participate with the department of citywide administrative services in job analyses for the classification of positions" (Section 815.a.2)
        *   "To allocate individual positions to existing civil service titles" (Section 815.a.3)
        *   "To allocate individual managerial or executive positions to managerial assignment levels" (Section 815.a.4)
        *   "Before any new position in the city service shall be created, the agency head shall furnish the commissioner of finance with a certificate stating the title of the class of positions to which the position is to be allocated. If the position is to be allocated to a new class of positions, the agency head shall request of the commissioner, and the commissioner shall furnish to the agency head and the commissioner of finance, a certificate stating the appropriate civil service title for the proposed position, the range of salary of comparable civil service positions and a statement of the class specifications and line of promotion into which such new position will be placed and any such new position shall be created only with the title approved by the commissioner" (Section 815.e)
        *   "A single managerial class of positions for each occupational series within the service with assignment levels within each such class" (Section 816.b.5)
    *   **Why:** Fundamental for structuring the civil service, ensuring fair grading, and managing new positions.
    *   **One row represents:** A unique civil service position title or class.
    *   **Covers:** All civil service positions across all city agencies.
    *   **Columns:** Civil Service Title ID, Civil Service Title, Civil Service Class, Grade, Salary Range (Min), Salary Range (Max), Class Specifications, Line of Promotion, Managerial Assignment Level (if applicable), Occupational Series (for management service), Creation Date, Abolition Date, Modification Date, Criteria for Allocation, Minimum Qualifications.

4.  **Civil Service Examinations**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To schedule and conduct examinations for positions in the civil service" (Section 814.a.3)
        *   "To establish, promulgate and certify eligible lists in the manner provided in the civil service law, and the rules of the commissioner" (Section 814.a.4)
        *   "To assist the commissioner in the planning and preparation of open competitive examinations" (Section 815.a.6)
        *   "To schedule and conduct tests other than written tests for promotion to competitive class positions" (Section 815.a.7)
        *   "To determine whether to hold an open competitive or promotion examination to fill positions in the civil service subject to disapproval of the commissioner within 30 days" (Section 815.a.8)
        *   "A city-wide qualifying test for entry into the service" (Section 816.b.3)
        *   "Assessments of capacity and potential to perform managerial duties as part of competitive tests for entry into the service and assignments within the service" (Section 816.b.4)
        *   "The commissioner shall, unless otherwise provided by law, have power, upon request of any person charged with the duty of issuing licenses or permits, to conduct, under rules and regulations to be established by the commissioner, examinations and tests to determine the qualifications of persons applying for such licenses or permits. The commissioner shall certify to the person having power to issue the license or permit the result of any such examination or test." (Section 820)
    *   **Why:** Essential for merit-based hiring and promotions, and for licensing.
    *   **One row represents:** A single civil service examination event or a license/permit test.
    *   **Covers:** All civil service examinations (open competitive, promotion, qualifying, managerial assessments) and license/permit tests.
    *   **Columns:** Exam ID, Civil Service Title ID (3), Exam Type (Open Competitive, Promotion, Qualifying, Managerial Assessment, License/Permit), Exam Date, Application Deadline, Exam Location, Exam Administrator Employee ID (1), Number of Applicants, Number of Candidates Tested, Number of Candidates Passed, Pass Score, Certification Date, Eligible List ID (5), License/Permit Type (for Section 820 exams), Requesting Agency ID (2) (for Section 820 exams), Certification of Results Date (for Section 820 exams).

5.  **Eligible Lists**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To establish, promulgate and certify eligible lists in the manner provided in the civil service law, and the rules of the commissioner" (Section 814.a.4)
        *   "To determine the appropriateness of eligible lists for the filing of vacancies in the manner provided in the civil service law and the rules of the commissioner" (Section 814.a.5)
        *   "To administer and certify eligible lists for classes of positions unique to the agency" (Section 815.a.11)
        *   "To make appointments to competitive positions from eligible lists pursuant to subsection 1 of section 61 of the state civil service law, which authority shall not be abridged or modified by local law or in any other manner" (Section 815.a.12)
    *   **Why:** Crucial for tracking qualified candidates and ensuring proper appointments.
    *   **One row represents:** A single eligible list entry for a candidate.
    *   **Covers:** All candidates on eligible lists for civil service positions.
    *   **Columns:** Eligible List ID, Exam ID (4), Candidate Employee ID (1), Civil Service Title ID (3), Rank on List, Score, Certification Date, Expiration Date, Status (Active, Expired, Appointed), Appointment Date, Appointing Agency ID (2), Position ID (reference to a specific instance of a position, not a title).

6.  **Applicant Investigations and Reviews**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To investigate applicants for positions in the civil service; to review their qualifications, and to revoke or rescind any certification or appointment by reason of the disqualification of the applicant or appointee under the provisions of the civil service law, and the rules of the commissioner or any other law" (Section 814.a.6)
        *   "To review any appointment of persons as provisional employees within sixty days after appointment to assure compliance with this chapter, the civil service law, and any rule or regulation issued pursuant to this charter or civil service law" (Section 814.a.7)
        *   "To review and evaluate qualifications of candidates for positions in the civil service" (Section 815.a.5)
    *   **Why:** Ensures only qualified and compliant individuals are appointed to city service.
    *   **One row represents:** A single investigation or qualification review for an applicant or appointee.
    *   **Covers:** All investigations and reviews for civil service applicants and provisional employees.
    *   **Columns:** Investigation ID, Applicant/Employee ID (1), Civil Service Title ID (3), Investigation Type (Background Check, Qualification Review, Provisional Appointment Compliance), Investigation Date, Investigator Employee ID (1), Findings, Outcome (Qualified, Disqualified, Revoked, Rescinded, Compliant, Non-Compliant), Date of Outcome, Reason for Outcome, Appeal Status (if applicable).

7.  **Payroll Certifications**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To certify payrolls in accordance with the provisions of the civil service law and the rules of the commissioner" (Section 814.a.8)
        *   "The head of each agency shall certify on each payroll that all personnel actions and transactions of the agency conform with the provisions of the civil service law and this chapter, the rules of the commissioner and other applicable law." (Section 815.d)
        *   "No officer of the city whose duty is to sign or countersign warrants shall draw, sign or issue, or authorize the drawing, signing or issuing of any warrant on the commissioner of finance or other disbursing officer of the city for payment of salary to any person in its service whose appointment or retention has not been in accordance with the civil service law and the valid rules in force thereunder." (Section 819)
    *   **Why:** Ensures employees are paid correctly and legally, preventing unauthorized compensation.
    *   **One row represents:** A single payroll certification event.
    *   **Covers:** All payroll certifications for city employees.
    *   **Columns:** Payroll Certification ID, Payroll Period Start Date, Payroll Period End Date, Agency ID (2), Certifying Officer Employee ID (1), Certification Date, Total Amount Certified, Number of Employees Certified, Compliance Status (Compliant, Non-Compliant), Notes on Non-Compliance.

8.  **Position Actions**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To develop and recommend to the mayor standard rules governing working conditions, vacations and leaves of absence; and career, salary and wage plans providing for the creation, abolition and modification of positions and grades and fixing salaries of persons paid from the city treasury, subject to the provisions of this charter, the civil service law, other applicable statutes and collective bargaining agreements" (Section 814.a.10)
        *   "To allocate individual positions to existing civil service titles" (Section 815.a.3)
        *   "To allocate individual managerial or executive positions to managerial assignment levels" (Section 815.a.4)
        *   "Notification prior to each action or decision of an agency pursuant to this chapter which changes the status of an individual employee, a position, or a class of positions shall be provided to the commissioner." (Section 815.d)
        *   "Before any new position in the city service shall be created, the agency head shall furnish the commissioner of finance with a certificate stating the title of the class of positions to which the position is to be allocated. If the position is to be allocated to a new class of positions, the agency head shall request of the commissioner, and the commissioner shall furnish to the agency head and the commissioner of finance, a certificate stating the appropriate civil service title for the proposed position, the range of salary of comparable civil service positions and a statement of the class specifications and line of promotion into which such new position will be placed and any such new position shall be created only with the title approved by the commissioner" (Section 815.e)
    *   **Why:** Tracks the lifecycle of positions within the city government, ensuring proper classification and resource allocation.
    *   **One row represents:** A single action (creation, abolition, modification, allocation) related to a position.
    *   **Covers:** All changes to civil service positions.
    *   **Columns:** Position Action ID, Position ID (unique identifier for each instance of a position), Civil Service Title ID (3), Agency ID (2), Action Type (Create, Abolish, Modify, Allocate), Action Date, Effective Date, Initiating Agency ID (2), Approving Commissioner Employee ID (1), Old Value (for modifications), New Value (for modifications), Justification, Notification Date to Commissioner, Certificate of Allocation Date (for new positions).

9.  **Employee Training and Development Programs**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To administer the city-wide safety incentive, training and development, and other such personnel programs of the city." (Section 814.a.11)
        *   "Develop policies and best practices to ensure that adequate support, training and mentorship is made available to underrepresented city employees to assist with career advancement in the civil service." (Section 814.1.c.7)
        *   "Develop recruitment, hiring, and career advancement procedures that address unconscious biases and systemic barriers to achieve greater diversity in the recruitment and career advancement of city employees, and provide trainings for city agency employees responsible for recruitment, discretionary hiring, and career advancement." (Section 814.1.c.8)
        *   "Train city agencies on how to review and evaluate whether job postings and recruitment materials for civil service positions reflect unconscious bias that could discourage a diverse pool of applicants from applying, and how to amend such postings and materials accordingly, if applicable." (Section 814.1.c.9)
        *   "To plan and administer employee incentive and recognition programs" (Section 815.a.9)
        *   "To conduct training and development programs to improve the skills, performance and career opportunities of employees" (Section 815.a.14)
        *   "diversity and inclusion training" (Section 815.a.19)
        *   "To offer career counseling to employees of the city civil service." (Section 815.a.21)
        *   "The head of each agency, in consultation with the department, shall ensure that each employee of such agency receives anti-sexual harassment interactive training annually." (Section 815.1.b)
        *   "The department of citywide administrative services shall maintain a record of all trainings required pursuant to this section for at least three years." (Section 815.1.d.1)
        *   "The head of each agency, in consultation with the department, shall ensure that each employee of such agency receives age discrimination training biennially." (Section 815.2.b)
        *   "Each agency, in consultation with the department, shall ensure that each of its employees completes such training at least once per year." (Section 815.3.d)
        *   "Management intern programs, and, (11) Training and career development programs." (Section 816.b.10, 816.b.11)
    *   **Why:** Tracks mandatory and developmental training for compliance, employee growth, and addressing biases.
    *   **One row represents:** A single training program or career development event.
    *   **Covers:** All city-wide and agency-specific training, development, and counseling programs.
    *   **Columns:** Training ID, Training Name, Training Type (e.g., Safety, Diversity & Inclusion, Anti-Sexual Harassment, Age Discrimination, Anti-Racism, Career Development, Management Intern, Recruitment Bias), Description, Date Offered, Duration, Instructor Employee ID (1), Agency ID (2) (if agency-specific), DCAS Approved (for alternative trainings), Compliance Requirement (e.g., Annual, Biennial, Triennial), Employee ID (1) (for individual counseling/internship), Completion Status, Completion Date, Next Due Date.

10. **Employee Performance Evaluations**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To establish and administer performance evaluation programs to be used during the probationary period and for promotions, assignments, incentives and training" (Section 815.a.13)
        *   "Performance evaluations for members of the service to be used for assignments, incentive awards, probationary period review, and disciplinary action" (Section 816.b.8)
    *   **Why:** Supports promotions, assignments, incentives, probationary reviews, and disciplinary actions.
    *   **One row represents:** A single performance evaluation for an employee.
    *   **Covers:** All performance evaluations for city employees, including probationary reviews.
    *   **Columns:** Evaluation ID, Employee ID (1), Evaluator Employee ID (1), Evaluation Date, Performance Period Start, Performance Period End, Evaluation Type (Probationary, Annual, Promotion, Incentive), Overall Rating, Key Performance Indicators (KPIs), Strengths, Areas for Improvement, Development Plan, Recommendation for Promotion/Assignment/Incentive, Acknowledged by Employee.

11. **Employee Appeals and Grievances**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The civil service commission shall have the power to hear and determine appeals by any person aggrieved by any action or determination of the commissioner made pursuant to paragraphs three, four, five, six, seven and eight of subdivision a or paragraph five of subdivision b of section eight hundred fourteen of this chapter and may affirm, modify, or reverse such action or determination." (Section 813.d)
        *   "The commission shall also have the powers and responsibilities of a municipal civil service commission under section seventy-six of the state civil service law." (Section 813.d)
        *   "To hear and determine appeals by any person aggrieved by any action or determination of the head of an agency made pursuant to paragraphs three, five, seven and eleven of subdivision a of section eight hundred fifteen, subject to review by the civil service commission as provided in subdivision c of section eight hundred thirteen" (Section 814.b.5)
    *   **Why:** Tracks formal challenges to personnel decisions, ensuring due process and legal compliance.
    *   **One row represents:** A single appeal or grievance filed.
    *   **Covers:** Appeals against actions by the Commissioner (DCAS) or agency heads related to personnel matters.
    *   **Columns:** Appeal ID, Employee ID (1), Filing Date, Action Appealed (e.g., Exam Result, Eligible List Certification, Provisional Appointment Review, Agency Allocation, Agency Qualification Review, Agency Non-Written Test, Agency Eligible List Admin), Agency/Commissioner Action ID (reference to relevant action dataset), Appealing Body (CSC, Commissioner), Hearing Date, Decision Date, Decision Outcome (Affirm, Modify, Reverse), Reason for Decision, Further Review/Appeal Status.

12. **Affirmative Employment Plans and Evaluations**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "Establish and enforce uniform procedures and standards to be utilized by city agencies in establishing measures, programs and plans to ensure a fair and effective affirmative employment plan for equal employment opportunities for minority group members and women who are employed by, or who seek employment with, city agencies." (Section 814.1.c.2)
        *   "Ensure accountability by evaluating each city agency in accordance with the procedures and standards set by the office pursuant to paragraph 1 of this subdivision. The office shall ensure that each evaluation shall include, but not be limited to, the following: (i) a determination for each city agency of whether such agency is compliant with such procedures and standards; (ii) an analysis of whether and how such procedures and standards should be expanded or modified for the next annual reporting period, with a view towards improving upon prior benchmarks; and (iii) any other information the office deems relevant." (Section 814.1.c.4)
        *   "To establish measures and programs to ensure a fair and effective affirmative employment plan to provide equal employment opportunity for minority group members and women who are employed by, or who seek employment with, the agency and, in accordance with the uniform procedures and standards established by the department of citywide administrative services for this purpose, to adopt and implement an annual plan to accomplish this objective. Such plan shall include the following information: an analysis of the agency’s compensation data and measures to address pay disparity and occupational segregation, developed both within the agency and as a result of consultation with prospective applicants and external stakeholders, in the most recent fiscal year; diversity and inclusion training; and schedule and workplace accommodations and access to facilities, including access for individuals with disabilities, gender appropriate bathrooms, and lactation rooms." (Section 815.a.19)
        *   "The head of each city agency shall quarterly publish and submit to the mayor, council, department of citywide administrative services, and the equal employment practices commission a report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen of subdivision a of section eight hundred fifteen." (Section 815.i)
    *   **Why:** Tracks agency compliance with EEO requirements and the effectiveness of affirmative action initiatives.
    *   **One row represents:** A single agency's affirmative employment plan or an evaluation of that plan.
    *   **Covers:** Annual affirmative employment plans submitted by agencies and DCAS evaluations of these plans.
    *   **Columns:** Plan/Evaluation ID, Agency ID (2), Fiscal Year, Plan Submission Date, DCAS Review Date, DCAS Approval Status, Evaluation Date, Evaluator Employee ID (1), Compliance Status (Compliant, Non-Compliant), Findings, Recommendations, Compensation Data Analysis Summary, Pay Disparity Measures, Occupational Segregation Measures, Diversity & Inclusion Training Programs (list of Training IDs (9)), Workplace Accommodations Provided, Access for Individuals with Disabilities, Gender-Appropriate Bathrooms, Lactation Rooms, Quarterly Report Submission Dates.

13. **Real Property Inventory**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The acquisition, disposition and management by the city of real property other than housing" (Section 811)
        *   "To purchase, lease condemn or otherwise acquire real property for the city, subject to the approval of the mayor, and to sell, lease, exchange or otherwise dispose of real property of the city, subject to the requirements of section three hundred eighty-four and subject to review and approval either pursuant to section one hundred ninety-five, if applicable, or pursuant to sections one hundred ninety-seven-c and one hundred ninety-seven-d." (Section 824.a)
        *   "To assign and reallocate to city agencies space and real property owned or leased by the city, to establish comprehensive and continuing programs and standards for utilization of space owned or leased by the city and to conduct surveys of space utilization" (Section 824.b)
        *   "To manage all real property of the city not used for public purposes, including real property acquired for a public purpose and not being currently utilized for such purpose, except wharf property or other real property under the jurisdiction of the department of small business services, the department of housing preservation and development, the New York city transit authority, and the New York city housing authority by virtue of an authorization granted by the mayor pursuant to the provisions of subdivision three of section one hundred twenty-five of the public housing law, or except as otherwise provided by law, real property under the jurisdiction of the triborough bridge and tunnel authority; provided, that the commissioner shall be responsible for the management, leasing or permitting of any parcels of wharf property and water front property as provided in any designation made by the commissioner of small business services pursuant to paragraph b of subdivision two of section thirteen hundred one of this charter" (Section 824.c)
        *   "To keep, maintain and annually update a master list of leases wherein the city or its agencies is a tenant. Such master list shall contain at least the following information: name and address of lessor, location wherein lease property is situated, base rent, square footage, escalation provisions, and any other information which the department deems necessary and appropriate." (Section 824.f)
    *   **Why:** Essential for managing the city's real estate portfolio, tracking utilization, and fulfilling reporting requirements.
    *   **One row represents:** A single parcel of real property or a leased space.
    *   **Covers:** All real property owned, leased, or managed by the city (excluding specific exceptions).
    *   **Columns:** Property ID, Address, Borough, Block, Lot, Property Type (Owned, Leased), Acquisition Date, Disposition Date, Current Status (Active, Surplus, Disposed), Current Use, Occupying Agency ID (2), Square Footage, Lease ID (14) (if leased), Lessor Name, Lessor Address, Base Rent, Escalation Provisions, Public Hearing Date (for acquisition/disposition), Approval Status (Mayor, ULURP), Managing Agent Vendor/Contractor ID (19) (if applicable), Utilization Standards Compliance, Last Survey Date.

14. **Real Property Leases (City as Tenant)**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To purchase, lease condemn or otherwise acquire real property for the city, subject to the approval of the mayor" (Section 824.a)
        *   "In the case of a lease in which the city is to be the tenant, the notice for the hearing required in this subdivision shall include a statement of the location and proposed use of the premises, and the term and annual rent of the proposed lease." (Section 824.a)
        *   "To keep, maintain and annually update a master list of leases wherein the city or its agencies is a tenant. Such master list shall contain at least the following information: name and address of lessor, location wherein lease property is situated, base rent, square footage, escalation provisions, and any other information which the department deems necessary and appropriate." (Section 824.f)
    *   **Why:** Explicitly required to maintain a master list of city leases for transparency and management.
    *   **One row represents:** A single lease agreement where the city is the tenant.
    *   **Covers:** All leases where the city or its agencies are tenants.
    *   **Columns:** Lease ID, Property ID (13), Lessor Name, Lessor Address, Lease Start Date, Lease End Date, Term (Years), Annual Rent, Base Rent, Square Footage, Escalation Provisions, Proposed Use, Public Hearing Date, Approval Status, Occupying Agency ID (2).

15. **Real Property Transactions**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The acquisition, disposition and management by the city of real property other than housing" (Section 811)
        *   "To purchase, lease condemn or otherwise acquire real property for the city, subject to the approval of the mayor, and to sell, lease, exchange or otherwise dispose of real property of the city, subject to the requirements of section three hundred eighty-four and subject to review and approval either pursuant to section one hundred ninety-five, if applicable, or pursuant to sections one hundred ninety-seven-c and one hundred ninety-7-d. No such purchase, lease, condemnation or other acquisition shall be authorized until a public hearing has been held with respect to such acquisition after the publishing of notice in the City Record at least ten days but not more than thirty days in advance of such hearing; provided, however, that in the case of an acquisition by purchase or condemnation, no such hearing shall be required if a public hearing is held with respect to such purchase or condemnation pursuant to any other requirement of law. In the case of a lease in which the city is to be the tenant, the notice for the hearing required in this subdivision shall include a statement of the location and proposed use of the premises, and the term and annual rent of the proposed lease. Before submitting an application pursuant to section one hundred ninety-seven-c for an acquisition or a disposition pursuant to this section, the commissioner shall take into consideration the criteria for location of city facilities established pursuant to section two hundred three. If two years, not including time spent in litigation, have elapsed between (1) the final approval of a disposition or acquisition pursuant to section one hundred ninety-seven-c and section one hundred ninety-seven-d and (2) execution of an agreement in connection with such disposition or acquisition, a public hearing shall be held on the proposed acquisition or disposition after the publishing of notice in the City Record at least forty-five days in advance of such hearing" (Section 824.a)
        *   "To exercise and perform such other powers and duties as may be prescribed by law or delegated to the commissioner in relation to the acquisition, disposition, management, site selection, assignment, demolition or other treatment of real property of the city" (Section 824.d)
    *   **Why:** Tracks all legal and procedural steps for acquiring and disposing of city real property.
    *   **One row represents:** A single real property acquisition or disposition transaction.
    *   **Covers:** All purchases, leases, condemnations, sales, exchanges, or other dispositions of city real property.
    *   **Columns:** Transaction ID, Property ID (13), Transaction Type (Purchase, Lease, Condemnation, Sale, Exchange, Other Disposition), Transaction Date, Initiating Agency ID (2), Mayor Approval Date, Public Hearing Date, City Record Notice Date, ULURP Review Status, Final Approval Date, Agreement Execution Date, Litigation Status, Consideration Amount, Buyer/Seller/Lessor/Lessee Name, Site Selection Criteria Considered.

16. **Public Buildings and Facilities Inventory**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The commissioner shall in addition have the power to perform all the functions and operations of the city of New York relating to the maintenance and care of public buildings and facilities" (Section 811)
        *   "With respect to public buildings and facilities, the commissioner shall have the following powers and duties: (a) to manage, alter, repair, operate, maintain and clean buildings, facilities and offices leased or occupied for public use by more than one city agency whose management, alteration, repair, operation, maintenance or cleaning is paid for in whole or in part from the city treasury, and as directed by the mayor, to perform services in space occupied for public use by a single city agency" (Section 822.a)
    *   **Why:** Essential for managing, maintaining, and operating public buildings and facilities.
    *   **One row represents:** A single public building or facility.
    *   **Covers:** All public buildings, facilities, and offices managed by DCAS.
    *   **Columns:** Building/Facility ID, Property ID (13), Building Name, Address, Type of Facility (e.g., Office, Multi-agency, Single-agency), Occupying Agency IDs (2), Square Footage, Management Responsibility (DCAS, Other), Last Maintenance Date, Last Cleaning Date, Condition Assessment, Lease ID (14) (if leased).

17. **Building Maintenance Records**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To manage, alter, repair, operate, maintain and clean buildings, facilities and offices leased or occupied for public use by more than one city agency whose management, alteration, repair, operation, maintenance or cleaning is paid for in whole or in part from the city treasury, and as directed by the mayor, to perform services in space occupied for public use by a single city agency" (Section 822.a)
    *   **Why:** Tracks all repairs and alterations to ensure proper upkeep and compliance for public buildings.
    *   **One row represents:** A single maintenance or alteration event.
    *   **Covers:** All maintenance, alteration, and repair activities for public buildings and facilities.
    *   **Columns:** Maintenance ID, Building/Facility ID (16), Date of Request, Date of Work, Work Order ID, Description of Work, Type of Work (e.g., Repair, Alteration, HVAC, Plumbing, Electrical), Contractor Vendor/Contractor ID (19) (if external), Internal Staff Employee ID (1), Cost, Status (Scheduled, In Progress, Completed), Inspection Date (post-maintenance), Inspection Outcome.

18. **Building Cleaning Records**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To manage, alter, repair, operate, maintain and clean buildings, facilities and offices leased or occupied for public use by more than one city agency whose management, alteration, repair, operation, maintenance or cleaning is paid for in whole or in part from the city treasury, and as directed by the mayor, to perform services in space occupied for public use by a single city agency" (Section 822.a)
