**Section 1, Mission Summary:**

The Fire Department is responsible for the government, discipline, management, maintenance, and direction of the fire department, including extinguishing fires, providing emergency medical services, enforcing fire safety laws, and investigating fires within the city's jurisdiction. The agency protects lives and property by responding to emergencies, preventing fires, and ensuring compliance with fire safety regulations.

**Section 2, Data Summary:**

1.  Fire/EMS Incident Log
*   Section 488.3: "The prevention of fires or danger to life or property therefrom, excluding provisions relating to structural conditions and excluding provisions relating to the installation of oil-burning equipment and all appurtenances thereof."
*   Section 490.a.1: "Cause any building, structure, tunnel, enclosure, vessel, place or premises to be inspected for fire hazards by any officer or employee of the department designated for such purpose."
*   Section 490.a.2: "Inspect and test any automatic or other fire alarm system or fire extinguishing equipment."
*   Section 490.b: "Whenever in any investigation or inspection carried on by the department a condition is found which in the opinion of the commissioner should be referred to any other department, he shall promptly make such reference in writing."
*   Section 492: "The commissioner and his deputies and such other officers or employees of the department as are authorized by the commissioner may without fee or hindrance enter and inspect all vessels, premises, grounds, structures, buildings and every part thereof and all underground passages of every sort in the city or in the port of New York for compliance with the provisions of law or rules and regulations enforced by the department."
*   Section 15-101.b.1: "Such bureau shall perform the duties and exercise the powers of the commissioner in relation to (1) combustibles, chemicals, explosives, flammables, or other dangerous substances, articles, compounds or mixtures, (2) the prevention of fires or danger to life or property therefrom, excluding provisions relating to structural conditions and (3) protection against fire and panic, obstruction of aisles, passageways and means of egress, standees, fire protection and fire extinguishing appliances, and fire prevention in licensed places of assembly."
*   Section 15-127.b.2: "The commissioner shall have the power to enter in person or by his or her duly authorized employees, the buildings or premises which are provided, upon the application of the owners or agents thereof, or which are directed by the commissioner to be provided, with the means of communicating alarms of fire directly to the department, for the purpose of maintaining, repairing, examining or installing the same."
*   Section 15-127.c.1: "Any member of the uniformed force or authorized representative of the department may enter any of such buildings, at any time, for the purpose of inspecting such apparatus or appliances."
*   Section 15-141.a: "The department shall review and audit records of fire safety violations provided to it by the department of housing preservation and development pursuant to section 27-2046.5. The results of this audit shall be used to inform the department's building inspection program."

**Why:** Regular inspections are crucial for fire prevention and enforcement of safety regulations.

**One row represents:** A single inspection event of a property or premises.

**Covers:** All inspections conducted by the Fire Department for fire hazards, dangerous substances, fire alarm systems, and fire extinguishing equipment.

**Columns:**
*   Inspection ID
*   Property/Premises ID (Unique identifier for the inspected location)
*   Inspection Date
*   Inspector ID (Link to Dataset 2)
*   Inspection Type (e.g., Fire Hazard, Combustibles, Fire Alarm System, Fire Extinguishing Equipment, Follow-up)
*   Inspection Scope/Focus
*   Findings (e.g., Fire hazards identified, system deficiencies)
*   Violation Issued (Yes/No) (Link to Dataset 4)
*   Referred to Other Department (Yes/No)
*   Referred Department
*   Notes/Comments
*   Building Type (e.g., Multiple Dwelling, Factory, Office, Warehouse, Store, Theater, Hospital, School, Pier, Vessel)
*   Owner/Lessee/Occupant Name
*   Owner/Lessee/Occupant Contact Information

**4. Fire Safety Violation Cases**

**Quotes:**
*   Section 491.a.1: "To order in writing the remedying of any condition in violation of any rule or regulation or any provision of law which he is empowered to enforce."
*   Section 491.a.2: "To cause any order of the commissioner which is not complied with within the time fixed in the order for such compliance to be enforced and to take proceedings for the enforcement thereof as may be provided by law."
*   Section 491.b: "Every order, requirement, decision or determination of the commissioner shall be in writing."
*   Section 15-216.a: "Any person who shall violate or fail to comply with any laws, rules, or regulations enforceable by the department, unless a different penalty is specifically provided, shall be guilty of a violation and upon conviction thereof shall be punished by a fine of not more than five thousand dollars for each offense. Such person shall also be subject to the payment of a civil penalty of not more than five thousand dollars which may be recovered in a civil action brought in the name of the commissioner."
*   Section 15-216.b: "Any person who shall knowingly violate or fail to comply with any laws, rules, or regulations enforceable by the department, unless a different penalty is specifically provided, shall be guilty of a misdemeanor and, upon conviction thereof, shall be punished by a fine of not more than ten thousand dollars or imprisonment for not more than six months or both for each offense. Such person shall also be liable for a civil penalty of not more than ten thousand dollars which may be recovered in a civil action brought in the name of the commissioner."
*   Section 15-223: "Upon finding that a violation of any law, the enforcement of which is charged upon the department, exists in any vessel, premises, ground, structure, building, or underground passage, the commissioner, the chief fire marshal, or such other member of the department designated by such commissioner, may issue a printed or written order directing the owner or occupant to alter, remedy, or remove such violation in such manner and in such reasonable time as is stated therein."
*   Section 15-223.1.a: "Any person who shall violate or fail to comply with an order issued by the commissioner, except an order issued pursuant to section 15-230, shall be guilty of a violation and, upon conviction thereof, shall be punished by a fine not to exceed five thousand dollars. Such person shall also be subject to the payment of a civil penalty of not more than five thousand dollars to be recovered in a civil action brought in the name of the commissioner or in a proceeding before the environmental control board."
*   Section 15-224: "Orders of the department or of the commissioner shall be addressed to the owner or owners, lessees or occupants of the building, structure, enclosure, vessel, place or premises affected thereby."
*   Section 15-226: "In case an order is not complied with within the time set forth therein, the commissioner may execute and enforce such order with employees and equipment of the department, or by the employment of such other agencies as the commissioner may direct."
*   Section 15-227.b: "In case any order to remedy a condition imminently perilous to life or property issued by the commissioner or the department is not complied with, or the commissioner certifies in writing that an emergency exists requiring such action, he or she may order and immediately cause any building or structure or part thereof (i) to be vacated; and, also, if the commissioner determines such action is necessary to the preservation of life and safety, (ii) to be sealed, secured and closed..."
*   Section 15-227.d.i: "Any order to seal, secure and close issued pursuant to item (ii) of subdivision b of this section shall contain notice of the opportunity for a hearing with respect to such order, to determine if the order was properly issued in accordance with the provisions of this section."
*   Section 15-227.e: "An order issued pursuant to this section shall not be rescinded unless the owner, lessor, lessee or mortgagee seeking such rescission provides assurance, in a form satisfactory to the commissioner, that the conditions which caused the issuance of such order have been corrected and will not reoccur."
*   Section 15-229.a: "Any person who shall violate or fail to comply with any such laws, rules, or regulations shall... be liable for a civil penalty which may be recovered in a proceeding before the environmental control board."
*   Section 15-230.a: "Whenever the commissioner serves a notice of violation such notice shall include an order which requires the respondent to correct the condition constituting the violation and to file a certification with the department that the condition has been corrected."
*   Section 15-231.a: "Any person who shall fail to comply with an order of the commissioner issued pursuant to subdivision a of section 15-230... shall... be liable for a civil penalty of not more than five thousand dollars for each violation for which there has been a failure to comply with such order."

**Why:** Tracking violations, orders, and compliance is essential for enforcement and public safety.

**One row represents:** A single fire safety violation case.

**Covers:** All violations of fire safety laws, rules, and regulations, from initial order to resolution.

**Columns:**
*   Violation ID
*   Inspection ID (Link to Dataset 3)
*   Property/Premises ID (Unique identifier for the location)
*   Date of Violation
*   Law/Rule/Regulation Violated
*   Description of Violation
*   Order Issued (Yes/No)
*   Order Issue Date
*   Order Compliance Deadline
*   Responsible Party (Owner, Lessee, Occupant)
*   Responsible Party Name
*   Responsible Party Contact Information
*   Compliance Status (e.g., Complied, Non-Compliant, Partially Compliant)
*   Date of Compliance Certification
*   False Certification (Yes/No)
*   Penalty Imposed (Yes/No) (Link to Dataset 13)
*   Penalty Amount
*   Civil Action Initiated (Yes/No)
*   Environmental Control Board Proceeding (Yes/No)
*   Order to Vacate Issued (Yes/No)
*   Order to Seal/Secure/Close Issued (Yes/No)
*   Hearing Requested (Yes/No)
*   Hearing Date
*   Hearing Outcome
*   Order Rescinded (Yes/No)
*   Date of Rescission
*   Reason for Rescission
*   Enforcement Action Taken by Department (e.g., Department employees, other agencies)
*   Cost of Enforcement (if applicable)

**5. Recruitment and Examination Data**

**Quotes:**
*   Section 15-103.a.3: "Shall have passed his or her eighteenth birthday but not his or her twenty-ninth birthday on the date of the filing of his or her application for civil service examination."
*   Section 15-110: "Promotions of officers and members of the force shall be made by the commissioner on the basis of seniority, meritorious service in the department and superior capacity as shown by competitive examination."
*   Section 15-130.a.1: "The total number of applicants for the 2012 open-competitive firefighter civil service examination and promotion to firefighter civil service examination, and the number of applicants who: (a) Took the computer-based portion of such examination; (b) Achieved a passing score on the computer-based portion of such examination; (c) Were invited to take the physical portion of such examination; (d) Took or began to take the physical portion of such examination; (e) Passed the physical portion of such examination; (f) Were invited to participate in the department's 1.5 mile pre-appointment run testing or substitute cardio-pulmonary testing; (g) Were not offered appointment to the probationary firefighter school based on the results of the pre-appointment 1.5 mile run or substitute cardio-pulmonary testing; (h) Were offered appointment to each probationary firefighter school class that commenced prior to the effective date of the local law that added this section; (i) Accepted appointment to each class identified in subparagraph (h) of this paragraph; (j) Participated in the final 1.5 mile run or substitute cardio-pulmonary testing prior to graduating from the probationary firefighter school; (k) Failed to graduate from the probationary firefighter school based on the results of the final 1.5 mile run or substitute cardio-pulmonary testing; (l) Failed to graduate from each class identified in subparagraph (h) of this paragraph on the grounds that they could not adequately complete the functional skills training or any successor physical training or testing; (m) Graduated from each class identified in subparagraph (h) of this paragraph; and (n) Did not graduate from each class identified in subparagraph (h) of this paragraph."
*   Section 15-130.a.2: "The data provided pursuant to paragraph one of this subdivision shall be disaggregated by gender and by race or ethnicity."
*   Section 15-144.a: "The department, in consultation with the department of citywide administrative services, shall develop and implement a plan regarding the recruitment and retention of firefighters. Such plan shall address the recruitment and retention of individuals from populations that are underrepresented within the rank of firefighter."
*   Section 15-144.b.3: "The number of recruitment events that department employees attended or held on behalf of the department."
*   Section 15-144.b.4: "The number of recruitment contacts made with prospective firefighters at any such recruitment events described in paragraph 3 of this subdivision."
*   Section 15-144.b.5: "The number of individuals who participated in department programming offered to support individuals in preparing for the fire academy and the candidate physical ability test, disaggregated by program offered and by the percentage of individuals who self-identify as members of populations that are underrepresented within the rank of firefighter."

**Why:** Tracking the recruitment and examination process is essential for staffing and diversity goals.

**One row represents:** A single applicant's progress through a firefighter civil service examination cycle.

**Covers:** All applicants for open-competitive and promotional firefighter civil service examinations, and their progression through testing and probationary school.

**Columns:**
*   Applicant ID
*   Examination Cycle ID
*   Examination Type (Open-Competitive, Promotional)
*   Application Date
*   Applicant Gender
*   Applicant Race/Ethnicity
*   Computer-Based Exam Taken (Yes/No)
*   Computer-Based Exam Score
*   Computer-Based Exam Passing (Yes/No)
*   Physical Exam Invited (Yes/No)
*   Physical Exam Taken (Yes/No)
*   Physical Exam Passed (Yes/No)
*   Pre-Appointment Run/Cardio Testing Invited (Yes/No)
*   Pre-Appointment Run/Cardio Testing Result
*   Offered Appointment to Probationary School (Yes/No)
*   Probationary School Class ID
*   Accepted Appointment (Yes/No)
*   Final Run/Cardio Testing Participated (Yes/No)
*   Failed Probationary School (Run/Cardio) (Yes/No)
*   Failed Probationary School (Functional Skills/Physical Training) (Yes/No)
*   Graduated Probationary School (Yes/No)
*   Recruitment Event ID (Link to Dataset 14)
*   Recruitment Contact Made (Yes/No)
*   Preparatory Program Participated (Yes/No)
*   Preparatory Program Type

**6. Employee Training Records**

**Quotes:**
*   Section 15-143.a.1: "Providing annual training for employees regarding the department's anti-discrimination and anti-harassment policies."
*   Section 15-143.a.2: "Providing annual training for employees regarding diversity and inclusion, which shall include, but not be limited to, instruction on: (a) cultural sensitivity, (b) conscious and unconscious biases in relation to race, ethnicity, gender and sexual identity, and (c) positive attitudes regarding departmental diversity and inclusion."
*   Section 15-143.a.3: "Providing employees in supervisory roles with training on promoting inclusion within the workplace, and identifying and remedying workplace discrimination and harassment, including through mediation and restorative practices."
*   Section 15-143.a.4: "Providing assessments to demonstrate the successful proficiency of all trained employees on the subject matters contained in the trainings."
*   Section 15-143.a.5: "Providing additional and targeted interactive training to firehouses, as the department deems necessary, including but not limited to firehouses where one or more employee was found in violation of the city's equal employment opportunity policy or human rights law, or the department's anti-discrimination and anti-harassment policies on two or more occasions during the prior year."
*   Section 15-149: "The department shall develop de-escalation and self-defense training for employees of the department within the bureau of emergency medical services who provide emergency medical services. Such training shall be designed to address the unique characteristics and operations of emergency medical services, with a particular focus on violent situations in the context of patient care. Such training shall include, but need not be limited to, recognition and understanding of mental illness and distress, effective communication skills, conflict de-escalation techniques, and self-defense techniques. The department shall offer such training no less frequently than once every third calendar year."

**Why:** Mandatory training programs require tracking attendance, completion, and proficiency for compliance and effectiveness.

**One row represents:** A single instance of an employee attending or completing a training session.

**Covers:** All mandatory and specialized training provided to Fire Department employees.

**Columns:**
*   Training Record ID
*   Employee ID (Link to Dataset 2)
*   Training Date
*   Training Type (e.g., Diversity & Inclusion, Anti-Discrimination, Anti-Harassment, Supervisory Inclusion, De-escalation, Self-Defense)
*   Training Provider/Instructor
*   Training Duration
*   Training Location (e.g., Firehouse ID from Dataset 8, Training Facility)
*   Assessment Administered (Yes/No)
*   Assessment Result (e.g., Pass, Fail, Score)
*   Proficiency Demonstrated (Yes/No)
*   Required Training (Yes/No)
*   Next Training Due Date (for recurring trainings)

**7. Fire Hydrant Inspection Records**

**Quotes:**
*   Section 15-134.a: "The department shall inspect all fire hydrants maintained by the department of environmental protection at least twice per calendar year, the first inspection occurring by June 30 and the second inspection occurring by December 31."
*   Section 15-134.b.3: "The total number of fire hydrants found to be inoperable through inspection during the prior calendar year."
*   Section 15-134.b.4: "The total number of fire hydrants categorized as priority by the fire department found to be inoperable through inspection during the prior calendar year."
*   Section 15-134.b.5: "The total number of fire hydrants categorized as priority by the fire department that were found inoperable during the inspection to be conducted by June 30 and the total number of such hydrants that were not made operable by December 31, disaggregated by borough and council district."

**Why:** Regular inspection of fire hydrants is a critical operational and reporting requirement.

**One row represents:** A single inspection of a fire hydrant.

**Covers:** All inspections of fire hydrants conducted by the Fire Department.

**Columns:**
*   Hydrant ID (Unique identifier for the hydrant)
*   Inspection Date
*   Inspector ID (Link to Dataset 2)
*   Inspection Type (e.g., First Annual, Second Annual, Follow-up)
*   Hydrant Location (Address, Borough, Council District)
*   Operable Status (Yes/No)
*   Reason for Inoperability (if applicable)
*   Priority Hydrant (Yes/No)
*   Repair Needed (Yes/No)
*   Repair Order Issued (Yes/No)
*   Repair Completion Date (if applicable)
*   Operable by December 31 (for June 30 inoperable hydrants) (Yes/No)
*   Notes/Comments

**8. Department Asset Inventory**

**Quotes:**
*   Section 487.a: "The commissioner shall have sole and exclusive power and perform all duties for the government, discipline, management, maintenance and direction of the fire department and the premises and property in the custody thereof..."
*   Section 15-102.a: "Any real property and any apparatus, equipment or other personal property owned or used by such volunteer forces which may be deemed useful or necessary for the use of the department, upon the extension of the paid system to the borough of Staten Island, shall be purchased by the department of general services upon the recommendation of the commissioner at the reasonable value thereof."
*   Section 15-120.a: "It shall be the duty of the commissioner to make suitable regulations under which the officers and members of the department shall be required to wear an appropriate uniform and badge by which the authority and relations of the officers and members in such department may be known."
*   Section 15-137.c.3: "The total number of emergency medical services units within each emergency medical services station."
*   Section 15-142.a: "No later than June 30, 2024, the department shall complete a survey of each firehouse to determine the permanent upgrades that would facilitate use by a mixed gender workforce."
*   Section 15-148.a: "The commissioner shall provide body armor to all employees of the department within the bureau of emergency medical services who provide emergency medical services."

**Why:** Effective management of department operations requires tracking all physical assets, including facilities, vehicles, and equipment.

**One row represents:** A single physical asset owned or managed by the department.

**Covers:** All real property (firehouses, EMS stations), vehicles (fire apparatus, ambulances), and major equipment (uniforms, body armor, tools).

**Columns:**
*   Asset ID
*   Asset Type (e.g., Firehouse, EMS Station, Fire Engine, Ladder Truck, Ambulance, Uniform, Body Armor, SCBA, Tool)
*   Asset Name/Model
*   Acquisition Date
*   Acquisition Cost
*   Current Location (e.g., Firehouse ID, EMS Station ID)
*   Status (e.g., Operational, In Maintenance, Retired, In Storage)
*   Maintenance Schedule
*   Last Maintenance Date
*   Next Scheduled Maintenance Date
*   Condition
*   Estimated Lifespan
*   Firehouse/EMS Station Specifics:
    *   Address
    *   Borough
    *   Division
    *   Square Miles Covered
    *   Mixed Gender Workforce Upgrades Needed (Yes/No)
    *   Interim Measures Implemented (Yes/No)
    *   Construction Plans for Upgrades (Yes/No)
*   Vehicle Specifics:
    *   Vehicle Identification Number (VIN)
    *   License Plate
    *   Mileage/Hours
*   Uniform/Body Armor Specifics:
    *   Employee ID (if assigned to individual, Link to Dataset 2)
    *   Size
    *   Issue Date
    *   Return Date

**9. Fire Alarm System Component Inventory**

**Quotes:**
*   Section 487.e: "The commissioner shall have the sole and exclusive power from time to time to designate and fix the location of all fire alarm telegraph, signal and alarm stations in the city, and shall have access to and control of the same for the purpose of the department."
*   Section 15-126.a: "The fire alarm telegraph system shall be operated or used only by the commissioner, or the officers and employees of the department charged with its operation or maintenance or authorized to use it for instruction or drill."
