**Section 1, Mission Summary:**
The agency's mission is to oversee and regulate various aspects of education, from commission governance and financial management to professional licensing, special education for vulnerable populations, historical records preservation, and standardized testing, as well as providing aid and setting standards for school districts regarding instructional materials and technology. Key programs include managing the Educational Commission of the States, administering professional licenses, ensuring educational standards for children in residential care and on Indian reservations, supporting historical records programs, managing employee benefits, facilitating interstate library districts, regulating standardized testing, and providing aid for textbooks, library materials, software, and hardware to school districts, alongside ensuring accessible instructional materials for higher education students with disabilities. The agency impacts constituents by ensuring educational quality, accessibility, and accountability across various levels of the state's education system.

**Section 2, Data Summary:**

1.  **Agency Governance & Operations**
    *   § 107.VII.C "The commission may meet any of its obligations in whole or in part with funds available to it pursuant to article III (g) of this compact, provided that the commission takes specific action setting aside such funds prior to incurring an obligation to be met in whole or in part in such manner. Except where the commission makes use of funds available to it pursuant to article III (g) thereof, the commission shall not incur any obligation prior to the allotment of funds by the party states adequate to meet the same." (3)
    *   § 107.VII.D "The commission shall keep accurate accounts of all receipts and disbursements. The receipts and disbursements of the commission shall be subject to the audit and accounting procedures established by its bylaws. However, all receipts and disbursements of funds handled by the commission shall be audited yearly by a qualified public accountant, and the report of the audit shall be included in and become part of the annual reports of the commission." (3)
    *   § 107.VII.E "The accounts of the commission shall be open at any reasonable time for inspection by duly constituted officers of the party states and by any persons authorized by the commission." (3)
    *   § 107.VIII.C "...and shall provide to the commission an equitable share of the financial support of the commission from any source available to him." (3)
*   **Why:** The agency must track all financial inflows and outflows to ensure accountability and comply with reporting and audit requirements.
*   **One row represents:** A single financial transaction (receipt or disbursement).
*   **Covers:** All financial activities of the Educational Commission of the States, including appropriations, grants, donations, and expenditures.
*   **Columns:** Transaction ID (PK), Transaction Date, Transaction Type (Appropriation, Grant Received, Donation Received, Expenditure, Reimbursement), Source/Payee (Party State, Donor Name, Vendor Name), Amount, Currency, Description, Conditions (if any, for grants/donations), Budget Line Item, Fiscal Year, Related Report ID, Audit Status.

**4. Agency Employees**
*   **Open Data Match:** "School Year Local Law Report for the Demographics of School Staff Gender" (565) and "School Year Local Law Report for the Demographics of School Staff Ethnicity" (2939) are related to staff demographics but not core personnel records. Maybe, 30%.
*   **Quotes:**
    *   § 107.III.D "The commission shall provide for the appointment of an executive director. Such executive director shall serve at the pleasure of the commission, and together with the treasurer and such other personnel as the commission may deem appropriate shall be bonded in such amount as the commission shall determine. The executive director shall be secretary." (4)
    *   § 107.III.E "Irrespective of the civil service, personnel or other merit system laws of any of the party states, the executive director subject to the approval of the steering committee shall appoint, remove or discharge such personnel as may be necessary for the performance of the functions of the commission, and shall fix the duties and compensation of such personnel." (4)
    *   § 107.III.E "The commission in its bylaws shall provide for the personnel policies and programs of the commission." (4)
    *   § 107.III.F "The commission may borrow, accept or contract for the services of personnel from any party jurisdiction, the United States, or any subdivision or agency of the aforementioned governments, or from any agency of two or more of the party jurisdictions or their subdivisions." (4)
    *   § 107.III.G "Any donation or grant accepted by the commission pursuant to this paragraph or services borrowed pursuant to paragraph (f) of this article shall be reported in the annual report of the commission. Such report shall include the nature, amount and conditions, if any, of the donation, grant, or services borrowed, and the identity of the donor or lender." (4)
*   **Why:** The agency must manage staff, track employment details, and ensure compliance with personnel policies.
*   **One row represents:** A single personnel record for an employee or borrowed service.
*   **Covers:** All employees of the Educational Commission of the States, including the executive director, and personnel whose services are borrowed.
*   **Columns:** Employee ID (PK), Personnel Name, Role/Title, Employment Type (Employee, Borrowed Service), Hiring/Start Date, Termination/End Date, Compensation Amount, Bonded? (Yes/No), Bond Amount, Appointing Authority (Executive Director, Steering Committee), Lending Agency/Jurisdiction (for borrowed services), Conditions of Service (for borrowed services), Annual Report Reference (for borrowed services).

**5. Employee Extended Leaves of Absence**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 113 "The department, subject to such regulations as the commissioner may promulgate, may grant any professional member of the staff of the department an extended leave of absence for advanced study, research, professional writing or other experience of recognized professional value, for not to exceed one year in seven at the rate of not to exceed one-half the regular salary paid, or for not to exceed six months with salary at full rate for such leave." (13)
    *   § 113 "The balance of salaries appropriated for such persons, or so much thereof as may be necessary, may be applied during the period of such absence for the purpose of the salaries of substitutes to take the place of the persons thus on leave." (13)
    *   § 113 "Not more than five such leaves of absence shall be granted during any one fiscal year." (13)
*   **Why:** The agency must track employee leaves, ensure compliance with limits, and manage substitute staffing and salary allocations.
*   **One row represents:** A single approved extended leave of absence for a professional staff member.
*   **Covers:** All extended leaves of absence granted to professional staff of the Education Department.
*   **Columns:** Leave ID (PK), **Employee ID (links to Dataset 4)**, Employee Name, Leave Type (Advanced Study, Research, Professional Writing, Other), Leave Start Date, Leave End Date, Duration (in months/years), Salary Rate During Leave (Full, Half), Fiscal Year of Leave, Substitute Hired? (Yes/No), Substitute Salary Allocated, Leave Count for Fiscal Year, Approval Date.

**6. Employee Salary Reduction Agreements**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 114.1 "The department, in its discretion, may enter into a written agreement with any employee to reduce the annual salary otherwise payable by law to such employee for the purpose of investing in a custodial account, as permitted by paragraph seven of subdivision (b) of section four hundred three of the United States internal revenue code, as amended, or in a tax deferred annuity, as permitted by subdivision (b) of section four hundred three of the United States internal revenue code, as amended, for such employee." (14)
    *   § 114.1 "Any such agreement shall be subject to approval and filing by the comptroller, and shall specify the amount of such reduction and the effective date thereof." (14)
    *   § 114.1 "Any such agreement may be terminated at any time upon written notice by either such employee or the department. Such termination shall take effect at the beginning of the payroll period the first day of which is nearest to the thirtieth day following the day on which such notification of termination was (a) received by the department, in the event such termination is initiated by the employee, or (b) sent to the employee, in the event such termination is initiated by the department." (14)
    *   § 114.1 "No more than one such agreement shall be entered into in any period of twelve successive calendar months." (14)
    *   § 114.2 "Upon approval and filing by the comptroller of any such agreement the comptroller shall reduce an employee's salary pursuant to said agreement and pay an amount equal to the amount agreed upon for such salary reduction as an employer contribution to the designated custodian of the employee's account or the issuer of the employee's annuity." (14)
    *   § 114.2 "Notwithstanding the reductions of salary authorized by this section, (a) the amount of employer and employee contributions otherwise required on behalf of an employee electing the optional retirement program pursuant to part five of this article shall continue to be made on the basis of the salary of such employee without regard to such reduction, or (b) in the event a member of a public retirement system in this state agrees to a reduction of salary pursuant to this section, such agreement shall not cause the employee to lose any benefits under such public retirement system to which such employee would otherwise be entitled had he or she not agreed to a reduction in salary for the purpose of establishing a custodial account or purchasing a tax-deferred annuity, and any required employer and employee contributions shall continue to be made on the basis of the salary of such employee without regard to such reduction." (14)
    *   § 114.3 "Any payroll deduction, other than income tax withholdings as required by law, which may be required or authorized pursuant to law, contract, agreement, or any other instrument, the amount of which is determined in relation to an employee's earnings, shall be based on the salary of such employee without regard to reduction thereof pursuant to any agreement authorized by this section." (14)
    *   § 114.4 "Payments for custodial accounts or tax deferred annuities shall be made by the comptroller to the designated custodian or custodians of such accounts or the issuers of such annuities out of moneys otherwise available in accordance with law for salaries of the employees who have entered into agreements pursuant to this section." (14)
*   **Why:** The agency must manage employee salary reductions for investments, ensure compliance with IRS codes, and track payments to custodians/issuers.
*   **One row represents:** A single salary reduction agreement for an employee.
*   **Covers:** All agreements between the department and employees for salary reductions for custodial accounts or tax-deferred annuities.
*   **Columns:** Agreement ID (PK), **Employee ID (links to Dataset 4)**, Agreement Date, Investment Type (Custodial Account, Tax Deferred Annuity), Custodian/Issuer Name, Annual Salary Reduction Amount, Effective Date of Reduction, Comptroller Approval Date, Termination Date (if applicable), Termination Initiator (Employee, Department), Termination Notice Date, Payroll Period of Termination, Previous Agreement in Last 12 Months? (Yes/No), Impact on Retirement Contributions.

**7. Employee Retirement Program Elections**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 180.1 "The term "eligible employee" means each employee of the education department who occupies a position which is designated by the commissioner as requiring the rendering of professional services within the field of supervision of higher education, and who, at the time of his initial employment with the department or within one year prior thereto, owns or owned a contract which may legally be continued pursuant to this part." (20)
    *   § 180.1 "An eligible employee who has elected to be covered by the education department optional retirement program shall not be deemed ineligible by virtue of a subsequent assignment within the education department to a sphere of responsibility outside of the field of supervision of higher education." (20)
    *   § 180.1 "No person receiving a retirement benefit from any retirement or pension system of New York state or any political subdivision thereof shall be eligible to elect the education department optional retirement program." (20)
    *   § 183.1.a "Each eligible employee initially appointed on or after July first, nineteen hundred sixty-eight, shall, within thirty days of his entry into service, elect (i) to join either the New York state teachers' retirement system or the New York state employees' retirement system in accordance with the provisions of law applicable thereto or (ii) to elect the education department optional retirement program established pursuant to this part V of this article." (20)
    *   § 183.1.a "Each eligible employee employed by the department prior to July first, nineteen hundred sixty-eight shall make such election on or before December fourth, nineteen hundred sixty-eight." (20)
    *   § 183.1.a "Any such election shall be effective as of the date of entry into service with the department, except that with respect to those eligible employees possessing contracts which may legally be continued under this part and who initially entered into service with the department prior to the effective date of this part, the deferred election shall be effective as of the effective date of this part." (20)
    *   § 183.1.b "In the event an eligible employee fails to make an election as provided in paragraph (a) of this subdivision, he shall be deemed to have elected membership in the New York state teachers' retirement system. Such membership shall be effective as of the date of entry into service with the department." (20)
    *   § 183.2 "Any employee who elects the education department optional retirement program shall be ineligible for membership in either the New York state employees' retirement system or the New York state teachers' retirement system so long as he shall remain employed in the department and shall continue in the education department optional retirement program." (20)
    *   § 183.3.a "Any eligible employee who is a member of either the New York state employees' retirement system or the New York state teachers' retirement system at the time he elects the optional retirement program established pursuant to this part shall be deemed to be a person who discontinues service on the effective date of such election, for the purpose of determining his eligibility for rights and benefits in either such system..." (20)
    *   § 183.4.c "Anything in subdivision three of this section notwithstanding, any eligible employee who is a member of the New York state teachers' retirement system and had elected the education department optional retirement program prior to July first, two thousand two, may obtain credit for service, other than service for which a contribution is made to the education department optional retirement program, which is creditable in such system, was rendered after such member had elected the education department optional retirement program, and was rendered between December first, nineteen hundred ninety-one and June thirtieth, two thousand two, provided (i) such member has rendered at least five years of service credited with the New York state teachers' retirement system at the time such service is credited, and (ii) in the case of such member subject to the provisions of article fourteen or fifteen of the retirement and social security law, the member contributes three percent of the wages earned for such service together with interest at the rate of five percent per annum compounded annually from the date of such service until payment is made." (20)
*   **Why:** The agency must track employee retirement program elections, ensure eligibility, and manage transitions between retirement systems.
*   **One row represents:** A single employee's election or deemed election for a retirement program.
*   **Covers:** All eligible employees of the Education Department making or deemed to make a retirement program election.
*   **Columns:** Election ID (PK), **Employee ID (links to Dataset 4)**, Employee Name, Initial Appointment Date, Position Requires Professional Services in Higher Ed? (Yes/No), Receiving Other Retirement Benefit? (Yes/No), Election Date, Chosen Program (EDORP, NYSTRS, NYSERS), Effective Date of Election, Deemed Election? (Yes/No), Previous Retirement System Membership (if applicable), Date of Discontinuation from Previous System (if applicable), Service Credit for Previous System (Yes/No, if applicable), Contribution for Prior Service (Amount, Date, if applicable).

**8. Employee Retirement Program Contributions**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 182.1 "Employer contributions. In the case of any electing employee initially appointed on or before June thirtieth, nineteen hundred ninety-two, the state shall, during continuance of his employment, make contributions at the rate of nine percentum of that portion of his state salary upon which contributions are or may hereafter be paid to the secretary of the treasury of the United States pursuant to article three of the retirement and social security law and at the rate of twelve percentum of that portion of his state salary above said amount, out of moneys which shall be appropriated to the department for such purpose." (21)
    *   § 182.1 "In the case of any electing employee initially appointed on or after July first, nineteen hundred ninety-two, the state shall, during continuance of his employment, make contributions at the rate of eight percentum of his state salary during the first seven years of such employment and at the rate of ten percentum of his state salary, thereafter, out of moneys which shall be appropriated to the department for such purpose." (21)
    *   § 182.1 "For purposes of this subdivision, that portion of the employee's salary upon which contributions are paid to the secretary of the treasury of the United States pursuant to article three of the retirement and social security law shall not exceed sixteen thousand five hundred dollars." (21)
    *   § 182.2 "Employee contributions. In the case of any electing employee, contributions at the rate of three per centum of his state salary shall be deducted by the state comptroller as the employee contribution, provided however, that such employee contribution shall be made by the state in accordance with subdivision one of this section during such period as (a) either section seventy-a of the retirement and social security law or section five hundred twenty-eight of this title provides that the contribution of each member of the New York state employees' retirement system or the New York state teachers' retirement system in the employ of the state shall be reduced by at least eight per centum of his compensation, or (b) employee contributions to either such system are no longer required by reason of such system becoming noncontributory for state employees." (21)
    *   § 182.2 "Notwithstanding any other law to the contrary, beginning April first, two thousand thirteen any electing employee appointed on or after April first, two thousand twelve, the rate at which each such employee shall contribute in any current plan year (January first to December thirty-first) shall be determined by reference to the wages of such member in the second plan year (January first to December thirty-first) preceding such current plan year as follows: (a) members with wages of forty-five thousand dollars per annum or less shall contribute three per centum of annual wages; (b) members with wages greater than forty-five thousand per annum, but not more than fifty-five thousand per annum shall contribute three and one-half per centum of annual wages; (c) members with wages greater than fifty-five thousand per annum, but not more than seventy-five thousand per annum shall contribute four and one-half per centum of annual wages; (d) members with wages greater than seventy-five thousand per annum but not more than one hundred thousand per annum shall contribute five and three-quarters per centum of annual wages; and (e) members with wages greater than one hundred thousand per annum shall contribute six per centum of annual wages." (21)
    *   § 182.2 "Notwithstanding the foregoing, during each of the first three plan years (January first to December thirty-first) in which such member has established membership in the Education Department Optional Retirement Program, such employee shall contribute a percent of annual wages in accordance with the preceding schedule based upon a projection of annual wages provided by the employer." (21)
    *   § 182.3 "Payment of contributions pursuant to subdivisions one and two of this section shall be made to the designated insurer or insurers upon audit and warrant of the state comptroller." (21)
*   **Why:** The agency must accurately calculate and track employer and employee contributions to the optional retirement program.
*   **One row represents:** A single payroll period's contribution for an electing employee.
*   **Covers:** All employer and employee contributions made to the Education Department Optional Retirement Program.
*   **Columns:** Contribution
