**Identified Tabular Datasets**

1.  **Birth, Fetal Death, and Death Registrations**
    *   **Why:** The agency must track all registered and contracted providers of mental hygiene services for oversight and funding.
    *   **One row represents:** A single mental hygiene service provider entity or a contract with such a provider.
    *   **Covers:** All individuals, associations, corporations, or agencies providing services for the mentally disabled, including their contracts.
    *   **Columns:**
        *   Provider ID
        *   Provider Name
        *   Provider Type (Individual, Association, Corporation, Public Agency, Private Agency)
        *   Address
        *   Contact Information
        *   Services Provided (e.g., Mental Health, Developmental Disability, Addiction Disorder, Residential, Treatment, Rehabilitation)
        *   Registration Date
        *   Registration Status (Active, Inactive, Suspended)
        *   Contract ID (if applicable)
        *   Contract Start Date
        *   Contract End Date
        *   Funding Mechanism (Per Capita, Fee-for-Service, Grant)
        *   Total Contract Amount
        *   Board Member Affiliation (Yes/No)
        *   [Department Inspections ID (5)] (for inspections of the provider)
        *   [Mental Hygiene Patient Care Investigations ID (13)] (for investigations related to the provider)

7.  **Mental Hygiene Service Delivery Events**
    *   **Quotes:**
        *   "Services for the mentally disabled. The term "services for the mentally disabled" means examination, diagnosis, care, treatment, rehabilitation, training, education, research, preventive services, referral, residential services or domiciliary care of or for the mentally disabled, not specifically limited by any other law." (Section 550.a)
        *   "promote or provide for programs for the prevention, diagnosis, care, treatment, social and vocational rehabilitation, special education and training of the mentally disabled;" (Section 556.d.5)
        *   "within the amounts appropriated therefor, execute such programs and maintain such facilities for the mentally disabled as may be authorized under such appropriations;" (Section 556.d.10)
    *   **Why:** The agency must track the actual delivery of mental hygiene services to individuals to monitor program effectiveness and ensure care.
    *   **One row represents:** A single instance of a mental hygiene service being provided to an individual.
    *   **Covers:** All examination, diagnosis, care, treatment, rehabilitation, training, education, research, preventive services, referral, residential services, or domiciliary care provided to mentally disabled individuals.
    *   **Columns:**
        *   Service Event ID
        *   [Mental Hygiene Service Provider Registrations/Contracts ID (6)]
        *   Patient ID
        *   Service Date
        *   Service Type (e.g., Examination, Diagnosis, Therapy Session, Residential Stay, Training, Referral)
        *   Duration of Service
        *   Staff Member ID (providing service)
        *   Outcome of Service (e.g., Improved, Stable, Referred)
        *   Cost of Service
        *   Reimbursement Claimed (Yes/No)
        *   [State Reimbursement Claims ID (18)] (if reimbursement is claimed)

8.  **Healthcare Facility Registrations/Licenses**
    *   **Quotes:**
        *   "analyze and monitor hospitals, clinics, nursing homes, and homes for the aged, and analyze, evaluate, supervise and regulate clinical laboratories, blood banks, and related facilities providing medical and health services and services ancillary thereto;" (Section 556.c.4)
    *   **Why:** The agency must track all healthcare facilities under its jurisdiction for regulatory oversight.
    *   **One row represents:** A single healthcare facility registered or licensed by the department.
    *   **Covers:** Hospitals, clinics, nursing homes, homes for the aged, clinical laboratories, blood banks, and related facilities.
    *   **Columns:**
        *   Facility ID
        *   Facility Name
        *   Facility Type (Hospital, Clinic, Nursing Home, Home for Aged, Clinical Lab, Blood Bank, Other)
        *   Address
        *   Contact Information
        *   Owner/Licensee Name
        *   Registration/License Number
        *   Issuance Date
        *   Expiration Date
        *   Status (Active, Pending, Suspended, Revoked)
        *   Capacity (e.g., number of beds, patients)
        *   [Department Inspections ID (5)] (for inspections of the facility)
        *   [Healthcare Facility Monitoring & Evaluation Events ID (9)]

9.  **Healthcare Facility Monitoring & Evaluation Events**
    *   **Quotes:**
        *   "analyze and monitor hospitals, clinics, nursing homes, and homes for the aged, and analyze, evaluate, supervise and regulate clinical laboratories, blood banks, and related facilities providing medical and health services and services ancillary thereto;" (Section 556.c.4)
    *   **Why:** The agency must track all monitoring and evaluation activities performed on healthcare facilities to ensure quality and compliance.
    *   **One row represents:** A single monitoring or evaluation event for a healthcare facility.
    *   **Covers:** Analysis, monitoring, evaluation, supervision, and regulation activities for hospitals, clinics, nursing homes, homes for the aged, clinical laboratories, blood banks, and related facilities.
    *   **Columns:**
        *   Monitoring Event ID
        *   [Healthcare Facility Registrations/Licenses ID (8)]
        *   Event Date
        *   Evaluator ID
        *   Event Type (Analysis, Monitoring, Evaluation, Supervision, Regulation Review)
        *   Scope of Review
        *   Findings/Observations
        *   Compliance Status
        *   Recommendations
        *   Follow-up Required (Yes/No)
        *   Follow-up Date

10. **Public Health Program Activities**
    *   **Quotes:**
        *   "supervise the reporting and control of communicable and chronic diseases and conditions hazardous to life and health" (Section 556.c.2)
        *   "promote or provide for public education on mental disability and the prevention and control of disease;" (Section 556.d.4)
        *   "promote or provide for programs for the prevention and control of disease" (Section 556.d.5)
        *   "promote or provide diagnostic and therapeutic services for maternity and child health, family planning, communicable disease, medical rehabilitation and other diseases and conditions affecting public health;" (Section 556.d.6)
        *   "promote or provide medical and health services for school children and the ambulant sick and needy persons of the city;" (Section 556.d.7)
        *   "promote or provide medical and health services for the incarcerated individuals of prisons maintained and operated by the city;" (Section 556.d.8)
    *   **Why:** The agency must track the implementation and delivery of various public health programs and services.
    *   **One row represents:** A single activity or service delivery event within a public health program.
    *   **Covers:** Disease reporting and control, public education, disease prevention programs, diagnostic/therapeutic services (maternity/child health, family planning, communicable disease, medical rehabilitation), school health services, and health services for incarcerated individuals.
    *   **Columns:**
        *   Activity ID
        *   Program Name/Type (e.g., Communicable Disease Control, Maternal Health, School Health, Public Education, Family Planning)
        *   Activity Date
        *   Location
        *   Staff Member ID
        *   Target Population
        *   Number of Individuals Served/Reached
        *   Service Provided (e.g., Vaccination, Screening, Counseling, Educational Session, Treatment)
        *   Reported Disease (if applicable)
        *   Outcome/Impact (e.g., Disease Incidence, Vaccination Rate, Knowledge Gain)
        *   Associated [Department Facilities and Assets ID (16)] (if conducted at a department facility)

11. **Laboratory Examination Results**
    *   **Quotes:**
        *   "conduct laboratory examinations for the diagnosis, prevention and control of disease;" (Section 556.d.3)
    *   **Why:** The agency must track the results of laboratory examinations for disease diagnosis, prevention, and control.
    *   **One row represents:** A single laboratory examination performed.
    *   **Covers:** All laboratory examinations conducted by or for the department for diagnosis, prevention, and control of disease.
    *   **Columns:**
        *   Examination ID
        *   Sample ID
        *   Patient ID (if applicable)
        *   Collection Date
        *   Receipt Date
        *   Analysis Date
        *   Test Type (e.g., Diagnostic, Surveillance, Environmental)
        *   Pathogen/Substance Tested
        *   Result (Positive, Negative, Quantitative Value)
        *   Reference Range
        *   Reporting Date
        *   Ordering Physician/Program ID
        *   [Public Health Program Activities ID (10)] (if part of a program)

12. **Forensic Testing and Analysis Records**
    *   **Quotes:**
        *   "The chief medical examiner may... provide forensic and related testing and analysis... including but not limited to: performing autopsies; performing deoxyribonucleic acid (DNA) testing and other forms of genetic testing and analysis; obtaining samples and exemplars; performing pathology, histology and toxicology testing and analysis; and determining the cause or manner of injuries and/or death." (Section 557.f.3)
    *   **Why:** The agency must track all forensic tests and analyses performed to support medical examiner investigations.
    *   **One row represents:** A single forensic test or analysis performed.
    *   **Covers:** Autopsies, DNA testing, genetic testing, sample/exemplar analysis, pathology, histology, and toxicology testing.
    *   **Columns:**
        *   Test ID
        *   [Medical Examiner Death Investigations ID (2)]
        *   Sample ID
        *   Test Type (Autopsy, DNA, Pathology, Toxicology, etc.)
        *   Date Performed
        *   Analyst ID
        *   Results
        *   Interpretation
        *   Report Date
        *   Contributing to Cause/Manner of Death (Yes/No)

13. **Mental Hygiene Patient Care Investigations**
    *   **Quotes:**
        *   "conduct such inquiries into services and facilities for the mentally disabled as may be useful in performing the functions of the department, including investigations into individual patient care, and for such purpose the department... shall... have access to otherwise confidential patient records, provided such information is requested pursuant to the functions, powers and duties conferred upon the department by law;" (Section 556.c.6)
    *   **Why:** The agency must track investigations into individual patient care to ensure quality and address concerns.
    *   **One row represents:** A single investigation into individual patient care.
    *   **Covers:** Inquiries and investigations into individual patient care within services and facilities for the mentally disabled.
    *   **Columns:**
        *   Investigation ID
        *   Patient ID
        *   [Mental Hygiene Service Provider Registrations/Contracts ID (6)]
        *   Date Initiated
        *   Reason for Investigation (e.g., Complaint, Incident Report, Routine Review)
        *   Investigator ID
        *   Findings
        *   Recommendations
        *   Corrective Actions Required
        *   Date Closed
        *   Outcome

14. **Early Intervention Service Enrollments**
    *   **Quotes:**
        *   "administer the unit responsible for early intervention services pursuant to the public health law;" (Section 556.b.7)
    *   **Why:** The agency must track enrollments and service provision for early intervention programs.
    *   **One row represents:** A single child's enrollment in early intervention services.
    *   **Covers:** All children receiving early intervention services administered by the department.
    *   **Columns:**
        *   Enrollment ID
        *   Child ID
        *   Child Name
        *   Date of Birth
        *   Parent/Guardian Information
        *   Referral Date
        *   Eligibility Determination Date
        *   Enrollment Start Date
        *   Services Plan (e.g., types of services, frequency)
        *   Service Provider ID
        *   Enrollment End Date
        *   Reason for Exit
        *   Status (Active, Inactive, Completed)

15. **Cremation Permit Applications**
    *   **Quotes:**
        *   "The chief medical examiner shall have such powers and duties as may be provided by law in respect to bodies of person dying... where an application is made pursuant to law for a permit to cremate a body of a person." (Section 557.f.1)
    *   **Why:** The agency must track applications for cremation permits as part of its oversight of human remains disposal.
    *   **One row represents:** A single application for a cremation permit.
    *   **Covers:** All applications for permits to cremate human remains.
    *   **Columns:**
        *   Application ID
        *   Deceased Individual ID
        *   Deceased Name
        *   Date of Death
        *   Applicant Name
        *   Application Date
        *   Medical Examiner Review Date
        *   Permit Status (Approved, Denied, Pending)
        *   Approval/Denial Date
        *   Reason for Denial
        *   [Medical Examiner Death Investigations ID (2)] (if applicable)

16. **Department Facilities and Assets**
    *   **Quotes:**
        *   "maintain an office in each borough and maintain, furnish and operate in each borough office health centers and health stations or other facilities which may be required from time to time for the preservation of health or the care of the sick;" (Section 556.a.2)
        *   "Maintain and operate public health centers and clinics as shall be established in the department;" (Section 556.d.1)
        *   "The board of health, during the prevalence of an epidemic or in the presence of great and imminent peril to the public health and when in the board's judgment it is necessary to do so, may take possession of any buildings in the city for temporary hospitals and shall pay a just compensation for any private property so taken. Such temporary hospitals shall be under the control of the commissioner." (Section 560)
        *   "Each inspector or other employee of the department who issues notices of violation shall... have access at the time that a violation is issued to equipment allowing such person: (a) to determine if such violation is a first-time violation of the applicable provision of law, and (b) if permitted by law, to issue a warning for such violation and to record that such a warning has been issued;" (Section 556.a.1)
    *   **Why:** The agency needs to manage its physical infrastructure and equipment to deliver services effectively.
    *   **One row represents:** A single department facility (office, health center, station) or a significant asset (e.g., inspector equipment).
    *   **Covers:** All department-owned or operated facilities, temporary hospitals, and key operational equipment.
    *   **Columns:**
        *   Asset ID
        *   Asset Name/Description
        *   Asset Type (Borough Office, Health Center, Health Station, Clinic, Temporary Hospital, Equipment)
        *   Location/Address
        *   Acquisition Date
        *   Current Status (Operational, Under Maintenance, Decommissioned, Temporary)
        *   Department/Division Responsible
        *   Maintenance Schedule
        *   Last Maintenance Date
        *   Condition Rating
        *   For Temporary Hospitals: Start Date, End Date, Private Property Compensation Amount

17. **Financial Transactions and Appropriations**
    *   **Quotes:**
        *   "Appropriations to the department for mental health, intellectual and developmental disability, and alcoholism services shall be set forth in the expense budget in separate and distinct units of appropriation." (Section 551.a)
        *   "receive and expend funds made available for public health purposes pursuant to law;" (Section 556.a.4)
        *   "receive and expend funds made available for the purposes of providing mental health, intellectual and developmental disability and alcoholism and substance abuse related services;" (Section 556.b.6)
        *   "No grant, gift, devise, legacy or bequest made to the city or to the department for work to be done within the jurisdiction of the department shall be accepted, and no work or research paid for from private sources shall be carried on under the jurisdiction of the department except with the approval of the commissioner." (Section 567)
        *   "No expenditure shall be incurred in the exercise of such extraordinary power, however, unless provision is made therefor in the budget or unless such expenditures are financed pursuant to sections one hundred seven or section 29.00 of the local finance law." (Section 563)
    *   **Why:** The agency must track all financial inflows and outflows to ensure accountability and compliance with budget mandates.
    *   **One row represents:** A single financial transaction (appropriation, expenditure, receipt of funds).
    *   **Covers:** All appropriations, expenditures, and receipt of funds (public and private) for all department activities.
    *   **Columns:**
        *   Transaction ID
        *   Transaction Date
        *   Transaction Type (Appropriation, Expenditure, Grant Received, Gift Received, Reimbursement)
        *   Amount
        *   Source/Destination of Funds
        *   Appropriation Unit (e.g., Mental Health, Public Health Services)
        *   Program/Project ID (e.g., [Agency Plans and Programs ID (18)])
        *   Approval Date (for private funds)
        *   Related Contract ID (e.g., [Mental Hygiene Service Provider Registrations/Contracts ID (6)])
        *   [State Reimbursement Claims ID (18)] (if related to state reimbursement)

18. **State Reimbursement Claims**
    *   **Quotes:**
        *   "the department may act as a "local agency" to conduct substance abuse programs and seek reimbursement therefore pursuant to provisions of the mental hygiene law relating to funding for substance abuse services" (Section 550.b)
        *   "submit all materials required by the mental hygiene law for purposes of state reimbursement;" (Section 556.e.2)
    *   **Why:** The agency must track all claims submitted for state reimbursement to ensure proper funding and compliance.
    *   **One row represents:** A single claim submitted for state reimbursement.
    *   **Covers:** All claims for state reimbursement for substance abuse programs and other services as required by mental hygiene law.
    *   **Columns:**
        *   Claim ID
        *   Submission Date
        *   Claim Period
        *   Program Type (e.g., Substance Abuse, Mental Health, IDD)
        *   Total Amount Claimed
        *   Approved Amount
        *   Reimbursement Received Date
        *   Status (Submitted, Approved, Denied, Paid)
        *   Supporting Documentation Reference
        *   [Mental Hygiene Service Delivery Events ID (7)] (for services included in the claim)
        *   [Financial Transactions and Appropriations ID (17)] (for the received reimbursement)

19. **Agency Plans and Programs**
    *   **Quotes:**
        *   "Prepare and submit to appropriate governmental authorities short term, intermediate and long range plans and programs designed to meet the said needs of the city, including the needs for construction and operation of medical and health care facilities, and establish priorities among them" (Section 555.a.1)
        *   "Develop and submit to the mayor and council a program for the delivery of services for the mentally disabled, including construction and operation of facilities;" (Section 556.b.1)
        *   "determine the needs of the mentally disabled in the city, which determination shall include the review and evaluation of all mental hygiene services and facilities within the department's jurisdiction;" (Section 556.b.2)
        *   "engage in short-range, intermediate-range and long-range mental hygiene planning that reflects the entire array of city needs in the areas of mental health, intellectual and developmental disabilities and alcoholism and substance abuse services within the department's jurisdiction;" (Section 556.b.3)
        *   "implement and administer an inclusive citywide planning process for the delivery of services for people with mental disabilities; and design and incorporate within that planning process, consistent with applicable law, standards and procedures for community participation and communication with the commissioner at the borough and local community level;" (Section 556.b.4)
        *   "in accordance with section five hundred fifty-five of this chapter, determine the public health needs of the city and prepare plans and programs addressing such needs." (Section 556.b.8)
    *   **Why:** The agency must track its strategic plans and programs to ensure alignment with city needs and departmental objectives.
    *   **One row represents:** A single plan or program initiative.
    *   **Covers:** Short-term, intermediate, and long-range plans and programs for medical/health care facilities, mental hygiene services, and general public health needs.
    *   **Columns:**
        *   Plan/Program ID
        *   Plan/Program Name
        *   Type (e.g., Strategic Plan, Program Initiative, Needs Assessment)
        *   Focus Area (e.g., Mental Health, Public Health, Facility Development)
        *   Start Date
        *   End Date
        *   Lead Department/Division
        *   Status (Planning, Active, Completed, Archived)
        *   Key Objectives
        *   Community Participation Activities (e.g., Public Meetings, Surveys)
        *   [Public Hearings ID (20)] (if public hearings were held for the plan/program)

20. **Public Hearings**
    *   **Quotes:**
        *   "The commissioner shall not approve any construction, addition or modification contrary to the health systems agency without first holding a public hearing." (Section 555.a.1)
        *   "Prior to the sale, closing, abandonment of a city hospital or transfer of a city hospital to any other hospital or facility, hold a public hearing with reference to such proposed sale, closing, abandonment or transfer; publish notice of such public hearing in the City Record and in such daily newspaper or newspapers published in the city of New York as shall be selected by the commissioner, such publication to take place not less than ten days nor more than thirty days prior to the date fixed for the hearing; and adjourn such hearing from time to time, if necessary, in order to allow persons interested to attend or express their views;" (Section 556.e.1)
    *   **Why:** The agency must track all public hearings conducted for transparency and public input on significant decisions.
    *   **One row represents:** A single public hearing event.
    *   **Covers:** Public hearings related to medical/health care facility construction/modification, and city hospital sales/closings/transfers.
    *   **Columns:**
        *   Hearing ID
        *   Hearing Date
        *   Topic (e.g., Facility Construction, Hospital Sale)
        *   Related Entity ID (e.g., Facility ID, Hospital ID)
        *   Location
        *   Notice Publication Date
        *   Number of Attendees
        *   Summary of Public Input
        *   Decision Context (e.g., [Agency Plans and Programs ID (19)], Facility Application ID)
        *   Outcome/Impact on Decision

21. **Department Staffing and Qualifications**
    *   **Quotes:**
        *   "The commissioner shall be a doctor of medicine and: (1) hold a degree of master of public health or a degree of master of business administration with concentration in the health field or a degree of master of public administration with concentration in the health field or the equivalent... and have had at least five years' experience in college or university public health teaching, or (2) have had at least five years' experience in public health administration." (Section 551.b)
        *   "The commissioner may appoint deputy commissioners, one of whom shall have the same qualifications as the commissioner. There shall be at least two executive deputy commissioners, one of whom shall have the qualifications established pursuant to the mental hygiene law for a director of community services of a local governmental unit" (Section 552)
        *   "The commissioner shall designate employees of the department as may be necessary to the service of the board including an employee designated by him to serve as the secretary of the board." (Section 553.c)
        *   "The chief medical examiner may appoint and remove such deputy chief medical examiners, medical examiners, medical investigators, lay medical investigators, scientific experts and other officers and employees as may be provided for in the budget. The deputy chief medical examiners and medical examiners shall possess the same basic qualifications as the chief medical examiner." (Section 557.c)
    *   **Why:** The agency must track the qualifications and appointments of key staff to ensure compliance with legal requirements.
    *   **One row represents:** A single staff member's appointment or qualification record.
    *   **Covers:** Commissioner, Deputy Commissioners, Executive Deputy Commissioners, Board Secretary, Chief Medical Examiner, Deputy Medical Examiners, Medical Examiners, Medical Investigators, and other key personnel.
    *   **Columns:**
        *   Employee ID
        *   Employee Name
        *   Position Title
        *   Appointment Date
        *   Qualifications Met (e.g., MD, MPH, Years Experience, Certifications)
        *   Qualification Details (e.g., Degree, Institution, Field of Study)
        *   Required Qualifications for Position
        *   Status (Active, Vacant)
        *   Department/Division
        *   [Board and Committee Member Appointments ID (22)] (if also a board member)

22. **Board and Committee Member Appointments**
    *   **Quotes:**
        *   "There shall be in the department a board of health, the chairperson of which shall be the commissioner. In addition to the chairperson, the board shall consist of ten members, five of whom shall be doctors of medicine... The other five members need not be physicians. However, non-physician members shall hold at least a masters degree... and shall have at least ten years experience... One member of the board shall be the chairperson of the mental hygiene advisory board" (Section 553.a)
        *   "The nine members other than the chairperson and the member who shall be the chairperson of the mental hygiene advisory board shall serve without compensation and shall be appointed by the mayor, each for a term of six years, commencing at the expiration of the terms of the present incumbents. In case of a vacancy the mayor shall appoint a member to serve for the unexpired term." (Section 553.b)
        *   "A member of the board of health other than the chairman may be removed by the mayor on proof of official misconduct or of negligence in official duties or of conduct in any manner connected with his official duties which tends to discredit his office, or of mental or physical inability to perform his duties" (Section 554)
        *   "There shall be a mental hygiene advisory board which shall be advisory to the commissioner and the deputy commissioner for mental hygiene services... The board and its subcommittees shall be constituted and their appointive members appointed and removed in the manner prescribed for a community services board by the provisions of the mental hygiene law." (Section 568.a.1)
        *   "provide for membership on such state or federally authorized committees as may be appropriate to the discharge of the department's functions, powers and duties;" (Section 556.e.3)
        *   "If any matter arises before the board or any of its subcommittees directly involving a public or private voluntary hospital... of which any member of the board or such subcommittee is an officer, employee or on the medical or consultant staff thereof, that member shall participate in the deliberations... only insofar as to provide any information requested... and that member shall not participate further in the deliberations..." (Section 568.b.2)
    *   **Why:** The agency must track all board and committee members, their qualifications, terms, and potential conflicts of interest.
    *   **One row represents:** A single appointment of an individual to a board or committee.
    *   **Covers:** Members of the Board of Health, Mental Hygiene Advisory Board (and subcommittees), and other state/federally authorized committees.
    *   **Columns:**
        *   Appointment ID
        *   Member ID
        *   Member Name
        *   Board/Committee Name (e.g., Board of Health, Mental Hygiene Advisory Board)
        *   Appointment Date
        *   Term Start Date
        *   Term End Date
        *   Appointment Status (Active, Expired, Vacant, Removed)
        *   Qualifications Met (e.g., MD, Years Experience, Degree)
        *   Affiliation with Contracted Provider (Yes/No)
        *   Recusal Events (Count)
        *   Reason for Removal (if applicable)
        *   [Department Staffing and Qualifications ID (21)] (if also a department employee)

